logs/submit_seed7.txt
val_bpb:enabled tokenizer_kind=sentencepiece tokenizer_path=./data/tokenizers/fineweb_1024_bpe.model
train_loader:dataset:fineweb10B_sp1024 train_shards:20
val_loader:shards pattern=./data/datasets/fineweb10B_sp1024/fineweb_val_*.bin tokens:62021632
model_params:22368841
world_size:1 grad_accum_steps:8
attention_mode:gqa num_heads:8 num_kv_heads:4
tie_embeddings:True embed_lr:0.03 matrix_lr:0.02 scalar_lr:0.02
train_batch_tokens:524288 train_seq_len:2048 iterations:20000 warmup_steps:20 max_wallclock_seconds:600.000
seed:7
warmup_step:1/20
warmup_step:2/20
warmup_step:3/20
warmup_step:4/20
warmup_step:5/20
warmup_step:6/20
warmup_step:7/20
warmup_step:8/20
warmup_step:9/20
warmup_step:10/20
warmup_step:11/20
warmup_step:12/20
warmup_step:13/20
warmup_step:14/20
warmup_step:15/20
warmup_step:16/20
warmup_step:17/20
warmup_step:18/20
warmup_step:19/20
warmup_step:20/20
step:0/20000 val_loss:6.9314 val_bpb:4.1051 train_time:0ms step_avg:0.02ms
step:1/20000 train_loss:6.9323 train_time:561ms step_avg:561.43ms
step:2/20000 train_loss:8.1308 train_time:1075ms step_avg:537.66ms
step:3/20000 train_loss:7.6160 train_time:1518ms step_avg:506.09ms
step:4/20000 train_loss:7.0014 train_time:2008ms step_avg:502.02ms
step:5/20000 train_loss:6.7708 train_time:2498ms step_avg:499.59ms
step:6/20000 train_loss:6.7491 train_time:2977ms step_avg:496.23ms
step:7/20000 train_loss:6.5236 train_time:3407ms step_avg:486.69ms
step:8/20000 train_loss:6.4869 train_time:3929ms step_avg:491.12ms
step:9/20000 train_loss:6.3370 train_time:4403ms step_avg:489.18ms
step:10/20000 train_loss:6.1774 train_time:4885ms step_avg:488.55ms
step:100/20000 train_loss:3.2061 train_time:48416ms step_avg:484.16ms
step:200/20000 train_loss:2.6932 train_time:97885ms step_avg:489.42ms
step:300/20000 train_loss:2.5235 train_time:147102ms step_avg:490.34ms
step:400/20000 train_loss:2.3062 train_time:196093ms step_avg:490.23ms
step:500/20000 train_loss:2.4086 train_time:245872ms step_avg:491.74ms
step:500/20000 val_loss:2.4034 val_bpb:1.4234 train_time:245872ms step_avg:491.74ms
step:600/20000 train_loss:2.4014 train_time:295570ms step_avg:492.62ms
swa:start step:700
step:700/20000 train_loss:2.3536 train_time:344343ms step_avg:491.92ms
step:800/20000 train_loss:2.2428 train_time:392770ms step_avg:490.96ms
step:900/20000 train_loss:2.2682 train_time:439408ms step_avg:488.23ms
step:1000/20000 train_loss:2.2522 train_time:486371ms step_avg:486.37ms
step:1000/20000 val_loss:2.2208 val_bpb:1.3153 train_time:486455ms step_avg:486.45ms
step:1100/20000 train_loss:2.1642 train_time:532862ms step_avg:484.42ms
step:1200/20000 train_loss:2.1684 train_time:580260ms step_avg:483.55ms
step:1242/20000 val_loss:2.1700 val_bpb:1.2852 train_time:600287ms step_avg:483.32ms
stopping_early: wallclock_cap train_time:600287ms step:1242/20000
peak memory allocated: 11561 MiB reserved: 11710 MiB
swa:applying averaged 6 checkpoints
Serialized model: 87413467 bytes
Code size: 52243 bytes
Total submission size: 87465710 bytes
Serialized model int6+zlib: 16324836 bytes
Total submission size int8+zlib: 16377079 bytes
final_eval_mode:sliding_window stride:64 batch_seqs:32
  sliding_eval [  0.0%] 32/969088 windows running_bpb=1.353701
  sliding_eval [  0.2%] 1632/969088 windows running_bpb=1.280463
  sliding_eval [  0.3%] 3232/969088 windows running_bpb=1.274572
  sliding_eval [  0.5%] 4832/969088 windows running_bpb=1.271317
  sliding_eval [  0.7%] 6432/969088 windows running_bpb=1.284204
  sliding_eval [  0.8%] 8032/969088 windows running_bpb=1.285991
  sliding_eval [  1.0%] 9632/969088 windows running_bpb=1.288166
  sliding_eval [  1.2%] 11232/969088 windows running_bpb=1.282823
  sliding_eval [  1.3%] 12832/969088 windows running_bpb=1.280238
  sliding_eval [  1.5%] 14432/969088 windows running_bpb=1.282299
  sliding_eval [  1.7%] 16032/969088 windows running_bpb=1.290949
  sliding_eval [  1.8%] 17632/969088 windows running_bpb=1.289080
  sliding_eval [  2.0%] 19232/969088 windows running_bpb=1.290064
  sliding_eval [  2.1%] 20832/969088 windows running_bpb=1.288698
  sliding_eval [  2.3%] 22432/969088 windows running_bpb=1.287495
  sliding_eval [  2.5%] 24032/969088 windows running_bpb=1.288015
  sliding_eval [  2.6%] 25632/969088 windows running_bpb=1.289627
  sliding_eval [  2.8%] 27232/969088 windows running_bpb=1.290072
  sliding_eval [  3.0%] 28832/969088 windows running_bpb=1.295930
  sliding_eval [  3.1%] 30432/969088 windows running_bpb=1.293284
  sliding_eval [  3.3%] 32032/969088 windows running_bpb=1.294559
  sliding_eval [  3.5%] 33632/969088 windows running_bpb=1.293002
  sliding_eval [  3.6%] 35232/969088 windows running_bpb=1.292296
  sliding_eval [  3.8%] 36832/969088 windows running_bpb=1.291558
  sliding_eval [  4.0%] 38432/969088 windows running_bpb=1.292059
  sliding_eval [  4.1%] 40032/969088 windows running_bpb=1.289637
  sliding_eval [  4.3%] 41632/969088 windows running_bpb=1.288782
  sliding_eval [  4.5%] 43232/969088 windows running_bpb=1.289213
  sliding_eval [  4.6%] 44832/969088 windows running_bpb=1.288334
  sliding_eval [  4.8%] 46432/969088 windows running_bpb=1.288171
  sliding_eval [  5.0%] 48032/969088 windows running_bpb=1.287242
  sliding_eval [  5.1%] 49632/969088 windows running_bpb=1.288659
  sliding_eval [  5.3%] 51232/969088 windows running_bpb=1.289810
  sliding_eval [  5.5%] 52832/969088 windows running_bpb=1.290374
  sliding_eval [  5.6%] 54432/969088 windows running_bpb=1.290046
  sliding_eval [  5.8%] 56032/969088 windows running_bpb=1.290596
  sliding_eval [  5.9%] 57632/969088 windows running_bpb=1.289990
  sliding_eval [  6.1%] 59232/969088 windows running_bpb=1.285837
  sliding_eval [  6.3%] 60832/969088 windows running_bpb=1.286022
  sliding_eval [  6.4%] 62432/969088 windows running_bpb=1.286604
  sliding_eval [  6.6%] 64032/969088 windows running_bpb=1.286934
  sliding_eval [  6.8%] 65632/969088 windows running_bpb=1.286825
  sliding_eval [  6.9%] 67232/969088 windows running_bpb=1.285581
  sliding_eval [  7.1%] 68832/969088 windows running_bpb=1.285278
  sliding_eval [  7.3%] 70432/969088 windows running_bpb=1.284415
  sliding_eval [  7.4%] 72032/969088 windows running_bpb=1.284488
